clean_text,vader_sentiment,roberta_sentiment,human_sentiment
my sister is married to a rich guy and he gives her whatever she wants so she buys designer bags and jewellery but little does he know that everything she has is a fake she puts that money on the side for probably a rainy day true story kislux,Positive,neutral,neutral 
honor 200 lite is the best budget phone its miles ahead of the cmf phone 1 at the same price,Positive,positive,positive 
i think theres something wrong with the sound of this vid is it a slight echo,Negative,negative,negative
why did you never posted a detailed review of the oppo find x9 pro,Neutral,negative,negative
loooool i saw the fool and still didnt pick up,Negative,negative,negative
oneplus 15 should have won performance phone without compromising that much camera or software like redmagic,Positive,neutral,neutral 
far out optical lens man that one was gold,Neutral,positive,positive 
your microphone is kinda bad,Negative,negative,negative
now thats an april fool video,Negative,neutral,neutral 
that price for this mic quality and finicky touch controls is straight up rude,Negative,negative,negative
usb type a sony cmon,Neutral,neutral,neutral 
under 1 hr gang like,Positive,neutral,neutral 
its not even midyear,Neutral,negative,neutral 
why are the mid range nominations so weird pixel 8a nord 4 is around 30k and s24fe is double the price around 60k,Negative,negative,negative
all i want from them is for them to fix that infuriating speaktochat feature that you cant disable and keeps turning itself on every time you touch your headphones the wrong way,Negative,negative,neutral 
hmm not sure i should get the xiaomi ultra 14 or x200 pro the latter has a more modern cpu for sure,Positive,neutral,neutral 
please do the best midrange in these year 2023 thank youuuuuuuuuu,Positive,positive,neutral 
still rocking mx4 every day at work,Neutral,positive,positive 
lmao that so funny,Positive,positive,positive 
arun see you next year 2024 i more thing,Neutral,positive,positive 
i love sponsor block,Positive,positive,positive 
wow props for not dismissing vivo just because its not available in the west i imported a vivo x100 pro and the photo and video quality wipe the floor with samsung google and apple,Positive,positive,positive 
can i please have a pixel 9 pro fold or the trophy please,Positive,neutral,neutral 
good one dude,Positive,positive,positive 
the flexibility is nutss,Positive,positive,positive 
i also have the bose qc 700s and have no complaint,Positive,positive,positive 
still using the wh1000xm4s 200 cheaper then the wh1000xm6s,Neutral,neutral,positive 
best flagship value oneplus 12,Positive,positive,positive 
did you guys commented before watching,Neutral,neutral,neutral 
very disappointing year end award video from arun for the first time no hype at all,Negative,negative,negative
redmagic just dropped the new snapdragon 8 phone,Neutral,neutral,neutral 
where is huawei watches,Neutral,neutral,neutral 
samsung he had us in the first half ngl,Neutral,neutral,neutral 
theres a new company called sonic lamb thats making some big claims can you check it out,Neutral,neutral,neutral 
you gat meive been fooled more than 6times,Negative,negative,neutral 
you praised the x300 pro but not x300 for compact phone,Positive,neutral,negative
i cant believe that after watching this im tempted to contact my carrier to trade in my iphone 14 pro for a s23 ultra,Neutral,negative,neutral 
bro you heard of iqoo they have some incredible phones with decent price range you havent even mentioned them even once in this video,Neutral,positive,neutral 
didnt expect this,Neutral,negative,negative
was waiting for the april fools video,Negative,neutral,neutral 
got me until fool lol well played,Positive,positive,neutral 
samsung i need a sponsor video mkbhd yo got me in,Neutral,positive,neutral 
did vivo buy arun his new house damn it sounds like that phone deserved a dedicated video if it really is that good,Positive,neutral,positive 
thats just how much they cost can become a trend apple sets a crazy premium priced item others feel emboldened to slightly undercut then those prices become the norm 500usd for headphones is definitely premium territory tbh though i have happily used airpods pro for travel for years now after figuring out i cant lean to sleep in planes with overheads so,Positive,neutral,positive 
imagine being so bad like apple that implementing technology that has been around for years in every other phone is now considered a glow up while actually having better technology and being one of the first phones to implement it isnt,Neutral,negative,negative
these headphones looks like marshmallows for real,Positive,negative,neutral 
they are highquality product they are not designed according to the planned obsolescence,Neutral,neutral,negative
been using the 5s for months wearing them right now probably wont be upgrading soon,Neutral,neutral,positive 
how do you keep all this phone,Neutral,neutral,neutral 
commissioned by vivo,Neutral,neutral,negative
feedback i dont like that youre comparing the mk5 and mk6 so much in this video far more people will be upgrading from 34s than 5s these really shouldve been the main point of comparison or at least included in my opinion,Negative,negative,negative
2025 has been a great year for chinese brands samsung needs to stop mocking apple and up their game on the s series,Positive,positive,negative
i just bought the xm4s,Neutral,neutral,neutral 
this is the content ive been waiting for,Neutral,positive,positive 
the redmagic 11pro is way better than the iphone 17pro,Positive,positive,neutral 
its so funny when someone writes ill never go back to the apple watch or something like that i think a lot of people chose garmin because of the battery yes garmin has a lot of sports features but do you use them all in the future apple might release a new watch with a super battery and youll come back to the apple watch again im not saying all people will but a large percentage will apple is still the best smartwatch for work and everyday life garmin is the best for sports and active living,Positive,neutral,neutral 
me with my best grandma phone this year,Positive,positive,neutral 
1107 i think the phones god disagree,Negative,negative,neutral 
old subscriber super fan please dont call it vegan leather,Positive,negative,neutral 
pokemon basketball where can i buy,Neutral,neutral,neutral 
518 fbi is also interested in op15,Positive,neutral,neutral 
you got me goodi was thinking how much did samsung pay him for this long advertisement lol,Positive,positive,neutral 
i needed to come to the comments to figure it out,Neutral,neutral,neutral 
the s23 ultra is just so damn good that i only got the joke at the compact segment hahaha absolute beast,Positive,positive,positive 
was bro sponsored,Neutral,neutral,neutral 
picked up the iphone 16 pro purely for apple watch and being able to compete with mates in the gym who unfortunately wont budge from the ecosystem i went from the iphone 14 pro to the s24 ultra and it absolutely smokes that phone and the 16 pro on every level however i then didnt have that competition with mates on the apple watch any longer so found myself doing considerably less with training could probably just say thats weak minded tbh but whatever you want to go with thats how i felt so i ended up going back to the iphone for apple watch and my training has skyrocketed and im at my happiest because of it so despite preferring the s24 ultra by a country mile my personal needs preferred iphone i really did try to get the others to at least come to garmin so could do so and keep the s24 so if youre not like me and not arsed about apple watch with mates then go for practically anything else other than iphone but if you are like me and considering the jump from iphone knowing you then miss out on apple watch id probably advise to not jump just my personal take end of the day most phones nowadays are class and years are going by faster and faster each year and these companies are mind fing the consumer to think they need an upgrade or a certain phone when you just dont advice i need to follow myself get the phone that suits your personal needs and roll with it,Positive,positive,positive 
wheres the lie,Neutral,neutral,neutral 
i want them now,Positive,neutral,positive 
sony did purchase audeze so their audio quality level should see big upgrades now,Neutral,positive,positive 
this is what a tech reviewer really should be totally unbiased and considers every aspect that should be taken into account kudos,Positive,positive,positive 
me literally watching on a android 8 2gb ram phone cant u give me one pls,Positive,negative,neutral 
me trying to explain this play to my nonsports friends,Positive,neutral,neutral 
my phone is starting to have some issues and the first thing i did was to check what you thought of 2024s,Neutral,negative,negative
cmf wallet protector,Neutral,neutral,neutral 
not me realising the date until the 4th award,Positive,neutral,neutral 
what colors will these come in,Neutral,neutral,neutral 
you should make a video covering the best over ear headphones but on a budget,Positive,positive,neutral 
what that purple back ground so poor,Negative,negative,negative
damnn vivo cooked this year with 3 awards beating iphone samsung xaomi and google,Neutral,positive,positive 
people who watched half of the video and left dislike and left,Negative,negative,neutral 
got me for 4 minutes stright,Neutral,neutral,neutral 
this video is brought to you by vivo,Neutral,neutral,neutral 
