entity,type,count
vivo,Brand,1811
samsung,Brand,1762
apple,Brand,1439
iphone,Product,1010
garmin,Brand,850
sony,Brand,741
oppo,Brand,565
apple watch,Product,496
xiaomi,Brand,442
huawei,Brand,419
galaxy,Product,417
xm5,Product,386
vivo x200 pro,Product,345
honor,Brand,325
oneplus,Brand,319
pixel,Product,305
xm4,Product,292
nothing,Brand,268
xm6,Product,257
bose,Brand,255
google,Brand,253
airpods,Product,212
poco,Product,187
s24 ultra,Product,185
xm3,Product,150
sennheiser,Brand,145
cmf,Product,139
find x9 pro,Product,138
motorola,Brand,93
redmagic,Product,92
vivo x300 pro,Product,82
s25 ultra,Product,79
redmi,Product,54
find x8 pro,Product,49
asus,Brand,35
